id,emoji,name,name-ja,slug,alias-ja,isUserPref,isTeamPref,isUserActivity,isTeamActivity,isOrgPref,isPersonalEvent,isPersonalEventEntryPoint,isTeamEvent,isTeamEventEntryPoint,isEventResult,isPersonalRecord,resultCriteria,gameEndFactor,recordValue,category1,category2,category3
8e80bc63-ca00-4917-8245-9cbfac26a091,🐬,artistic swimming,アーティスティックスイミング,artistic-swimming,シンクロナイズドスイミング,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,judgement,finish,,swimming,アーティスティックスイミング,
623e184f-7b55-499e-b43c-f0d98abcfd4b,🐬,artistic swimming solo,アーティスティックスイミング ソロ,artistic-swimming-solo,シンクロナイズドスイミング,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,judgement,finish,,swimming,アーティスティックスイミング,
7f3e8df4-abdd-423a-8243-6157b1451997,🐬,artistic swimming duet,アーティスティックスイミング デュエット,artistic-swimming-duet,シンクロナイズドスイミング,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,judgement,finish,,swimming,アーティスティックスイミング,
bebfd0b4-b28e-4f56-8488-bf244501a80e,🐬,artistic swimming team,アーティスティックスイミング チーム,artistic-swimming-team,シンクロナイズドスイミング,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,judgement,finish,,swimming,アーティスティックスイミング,
4607ca01-e5ce-46bb-859f-b4c14d772ac7,🐬,Artistic swimming free combination,アーティスティックスイミング フリーコンビネーション,Artistic-swimming-free-combination,シンクロナイズドスイミング,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,judgement,finish,,swimming,アーティスティックスイミング,
7a5bc800-0755-4c4a-a900-23ff278a0b2f,🐬,Artistic swimming highlight routine,アーティスティックスイミング アクロバティックルーティン,Artistic-swimming-highlight-routine,ハイライトルーティン,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,judgement,finish,,swimming,アーティスティックスイミング,
b2688987-d824-4e06-9bd6-6a922b197123,🤽,water polo,水球,water-polo,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,point,time,,swimming,水球,
4db3fc98-1bfe-4510-90e4-cc197be10255,🏊,open water swimming,オープンウォータースイミング,open-water-swimming,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,record,finish,,swimming,オープンウォータースイミング,
02828222-6cf3-4311-a587-247f516d23f5,⚔️,kendo,剣道,kendo,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,point|judgement,time,,martial arts,,
ae63e60c-0585-4fdb-b251-78395b97daa6,🥋,judo,柔道,judo,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,judgement|point,time,,martial arts,,
5b13478d-c86e-4015-ba1a-5170695f3a42,🥋,karate,空手,karate,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,judgement,,,martial arts,,
3bd5fc73-9c23-498e-876e-ac8160cff6ad,🥋,karate kata,空手 形,karate-kata,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,judgement,finish,,martial arts,,
781c7b9f-5c8f-442b-a2aa-d1ae2d846c81,🥋,karate kumite,空手 組手,karate-kumite,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,judgement,time,,martial arts,,
e0a2b26e-016d-4433-ba86-32503171888b,🏹,Kyudo,弓道,Kyudo,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,point,count,,martial arts,,
d12ecc4b-5fa9-4f9e-ab63-fd3b2c497009,💪,Sumo,相撲,Sumo,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,survival,survival,,martial arts,,
1b1c4a95-990c-4a17-aa2f-07ec0fb2b43b,🗡️,naginata,薙刀,naginata,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,point,time,,martial arts,,
b82e6dd2-2571-4d1c-9c71-ceb92d1e79f6,🤼,wrestling,レスリング,wrestling,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,judgement,,,,,
002ef086-e2ac-4350-ad1e-84933b5218a0,🤼,wrestling freestyle,レスリング フリースタイル,wrestling-freestyle,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,judgement|point,time,,martial arts,,
cd64113a-e827-4642-8bf8-ec3cdb81ea2c,🤼,wrestling greco roman,レスリング グレコローマン,wrestling-greco-roman,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,point|judgement,time,,,,
93a45e23-cc47-43b8-83db-f5e5324d3bfa,🤺,fencing,フェンシング,fencing,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,point,,,martial arts,,
