id-old,emoji ,name_en-US,name_ja-JP,id,alias-ja,isUserPref,isTeamPref,isUserActivity,isTeamActivity,isOrgPref,isPersonalEvent,isPersonalEventEntryPoint,isTeamEvent,isTeamEventEntryPoint,isEventResult,isPersonalRecord,resultCriteria,gameEndFactor,recordValue,hasTricks,category 1,category 2,category 3,canBeDraw,gameEndFactorException,scoringUnitCountName,priorityRecordContents,,is paralymic,競技人口 (世界),人気の国,個人競技/チーム競技,団体戦があるか,チーム・クラブの値になるか,競技の結果になるか,結果の基準,終了のタイミング,,メモ
66465d31-730a-4b50-b134-702d6942ee6f,🏃,steeplechase,障害物走,taf-steeplechase,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,record,finish,,FALSE,,,,,,,,,,,,,,,,,,,
c959d89a-9417-4745-b3a3-b47fce0918ca,🏃,3000m steeplechase,3000m 障害物走,taf-3000m-steeplechase,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,,,,,,,,,,,,個人,,FALSE,,記録,,,
5013bf7f-e07c-40a7-86c1-8f1e699102d1,🏃,5000m run,5000m走,taf-5000m-run,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,track and field,,,,,,,,,,,個人,,FALSE,,記録,,,
503ee6fc-d3ec-4f47-ab99-dac7888f3529,🏃,10000m run,10000m走,taf-10000m-run,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,track and field,,,,,,,,,,,,,,,,,,
5ab77e41-0872-44e2-a2e0-21bddc3e24d9,🏃,Track and field throwing event,陸上投擲種目,taf-throwing-event,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,record,finish,,FALSE,,,,,,,,,,,,個人,,FALSE,,記録,,,
a6904d3b-d167-4e1f-b1ee-f6034802efb0,🏃,hammer throw,ハンマー投げ,hammer-throw,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,"finish, count",distance,FALSE,track and field,フィールド競技,投擲,,,,,,,,,個人,,FALSE,,記録,,,
0292ba1f-dc94-4b41-b63f-30e454e77d71,🏃,shot put,砲丸投げ,shot-put,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,"finish, count",distance,FALSE,track and field,フィールド競技,投擲,,,,,,,,,個人,,FALSE,,記録,,,
e3ac8d67-376e-4566-a8d4-a17d60e7f88b,🥏,discus throw,円盤投げ,discus-throw,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,"finish, count",distance,FALSE,track and field,フィールド競技,投擲,,,,,,,,,個人,,FALSE,,記録,,,
42792f9a-7490-4dce-99de-c59071352fcf,🏃,javelin throwing,槍投げ,javelin-throwing,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,"finish, count",distance,FALSE,track and field,フィールド競技,投擲,,,,,,,,,,,,,,,,
ac6a9b35-bf37-4b94-9f34-2fb1cab69034,🦘,Track and field jumping event,陸上跳躍種目,Track-and-field-jumping-event,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,record,finish,,FALSE,,,,,,,,,,,,個人,,FALSE,,記録,,,
da39629e-3855-46c8-8926-66b0bde87e64,🦘,long jump,走り幅跳び,long-jump,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,"finish, count",distance,FALSE,track and field,フィールド競技,跳躍,,,,,,,,,個人,,FALSE,,記録,,,
704b2ca5-c3ce-4071-8772-269ace357300,🦘,triple jump,三段跳び,triple-jump,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,"finish, count",distance,FALSE,track and field,フィールド競技,跳躍,,,,,,,,,,,,,,,,
f6cf77d1-ef7f-49f5-bef1-2702238913dc,🏃,Track and field - Combined Events,陸上混成競技,Track-and-field---Combined-Events,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,record,finish,,FALSE,track and field,,,,,,,,,,,個人,,FALSE,,記録,,,
a154e3aa-5b12-49c1-9884-6c1954ce0f40,🏃,decathlon,十種競技,decathlon,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,"point, distance, time",FALSE,track and field,混成競技,,,,,,,,,,個人,,FALSE,,記録,,,
29203a8c-d1b2-46ac-b7fd-1020f60e2d1e,🏃,heptathlon,七種競技,heptathlon,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,"point, time, distance",FALSE,track and field,混成競技,,,,,,,,,,,,,,,,,
46566f5a-bb36-4e85-b918-526b3eda6d87,🏃,half marathon,ハーフマラソン,half-marathon,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,,,,,,,,,,,,個人,,true/false (社会人クラブはランニングか?TODO),,記録,,,
2f0b914a-c778-4126-83e9-ab00ab27592f,🏃,marathon,マラソン,marathon,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,track and field,ロードレース,,,,,,,,,,チーム,,FALSE,,記録,,,
e665a66c-13ff-45df-86d4-af3a58533d75,🏃,Ekiden,駅伝,Ekiden,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,record,finish,time,FALSE,track and field,ロードレース,,,,,,,,,,個人,,FALSE,,記録,,,
fe317d19-409e-451c-bd4d-e3bebce7fc24,🏃,race walking,競歩,race-walking,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,track and field,ロードレース,,,,,,,,,,,,TRUE,,記録,,,水泳チームとして検索したいときがある。全般的に取り組むと思うので。水泳部。
8dcd0e07-3c6b-47fa-afa9-b5052a844eee,🏊,swimming,水泳,swimming,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,record,,,FALSE,swimming,,,,,,,,,,,,,,,,,,
c144df1d-a80a-4e5e-accd-abe333aeeafa,🏊,competitive swimming,競泳,competitive-swimming,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,record,finish,,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
e269bfea-bc2b-4215-9155-9fbc77b9dca5,🏊,Competitive freestyle swimming,競泳自由型,Competitive-freestyle-swimming,水泳 クロール,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,record,finish,,FALSE,swimming,競泳,,,,,,,,,,,,,,,,,
